#{"t_start": 1541275480.22265, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,1501,33.197058
0.0,1501,65.286462
0.0,1501,97.438525
0.0,1501,129.80352
0.0,1501,161.886886
0.0,1501,194.873819
0.0,1501,227.090778
7.75,1501,259.595583
36.25,1501,293.192782
19.25,1501,326.675128
42.0,1501,359.903747
30.0,1501,392.948882
32.75,1501,426.087926
32.0,1501,459.534697
32.5,1501,492.698965
34.5,1501,525.852557
32.75,1501,559.116226
33.5,1501,592.31831
40.0,1501,625.53828
26.5,1501,658.776803
33.25,1501,691.954874
39.0,1501,725.165579
32.75,1501,758.366368
30.25,1501,791.554914
36.0,1501,824.414862
36.75,1501,857.705107
30.75,1501,891.071145
32.75,1501,924.188541
37.0,1501,957.3867
33.5,1501,990.495995
37.0,1501,1023.648196
34.0,1501,1056.700211
36.75,1501,1089.725657
34.75,1501,1122.871691
37.25,1501,1156.000373
36.75,1501,1189.117848
41.5,1501,1222.255652
35.25,1501,1255.392603
33.5,1501,1288.515809
37.5,1501,1321.633145
37.0,1501,1354.757389
35.75,1501,1387.948487
39.0,1501,1421.080795
33.75,1501,1454.211428
38.25,1501,1487.33488
38.0,1501,1520.463421
31.25,1501,1553.543443
40.5,1501,1586.683188
33.25,1501,1619.867232
34.75,1501,1653.014545
37.0,1501,1686.136493
29.5,1501,1719.248228
31.25,1501,1752.712178
40.0,1501,1785.817308
33.25,1501,1818.994083
44.25,1501,1852.336658
39.5,1501,1885.47733
38.5,1501,1918.668968
39.75,1501,1951.912779
21.75,1501,1985.299054
38.75,1501,2018.596078
34.0,1501,2051.754452
46.25,1501,2084.974599
42.0,1501,2118.226233
48.75,1501,2151.453994
42.25,1501,2184.74152
39.75,1501,2217.992104
42.5,1501,2251.300528
41.75,1501,2284.514521
39.25,1501,2317.757847
47.5,1501,2351.114658
43.5,1501,2384.399362
38.25,1501,2417.628015
39.5,1501,2450.893332
45.5,1501,2484.350687
47.5,1501,2517.729372
41.5,1501,2551.06014
47.75,1501,2584.467124
42.75,1501,2617.677767
45.0,1501,2650.959184
35.25,1501,2684.192299
44.5,1501,2717.46381
46.25,1501,2750.835372
43.25,1501,2783.949126
48.0,1501,2817.020268
39.0,1501,2849.640624
36.25,1501,2882.662777
46.0,1501,2915.770688
53.75,1501,2949.064441
41.75,1501,2982.442166
42.75,1501,3015.886573
37.75,1501,3049.02453
47.0,1501,3082.055235
45.5,1501,3115.21268
47.5,1501,3148.254858
45.5,1501,3181.511396
43.25,1501,3214.712743
46.75,1501,3247.911951
41.5,1501,3280.920275
39.5,1501,3313.807319
43.25,1501,3347.141858
37.75,1501,3380.411287
38.75,1501,3413.316503
37.0,1501,3446.310802
45.0,1501,3479.290021
43.5,1501,3512.434332
40.25,1501,3545.604789
37.0,1501,3578.763106
44.75,1501,3611.867935
35.5,1501,3645.096504
35.5,1501,3678.468678
43.75,1501,3711.568993
41.0,1501,3744.904177
41.25,1501,3778.180737
32.75,1501,3811.548129
31.75,1501,3844.908323
42.75,1501,3878.123207
37.5,1501,3911.305018
46.25,1501,3944.525864
37.75,1501,3977.647343
45.0,1501,4011.031417
48.25,1501,4044.447501
45.5,1501,4077.676385
38.75,1501,4110.660078
49.75,1501,4143.747083
45.25,1501,4176.847592
42.25,1501,4209.86383
50.0,1501,4243.058777
46.75,1501,4276.41084
45.75,1501,4309.779162
40.75,1501,4343.110112
46.25,1501,4376.463875
45.5,1501,4409.741226
39.0,1501,4442.954231
45.75,1501,4476.199368
42.0,1501,4509.27983
40.0,1501,4542.402249
43.0,1501,4575.604278
37.5,1501,4608.817501
47.5,1501,4642.008783
44.0,1501,4675.270101
40.5,1501,4708.188665
43.25,1501,4741.263592
46.0,1501,4774.443099
48.0,1501,4807.989146
