#{"t_start": 1541099715.124042, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,5.852706
0.0,501,10.438544
0.0,501,15.038304
0.0,501,19.745839
0.0,501,24.341865
0.0,501,28.933404
0.0,501,33.565853
0.0,501,38.15757
0.0,501,42.725785
0.0,501,47.386677
0.0,501,52.102423
0.0,501,56.689527
0.0,501,61.244631
0.0,501,65.815395
0.0,501,70.479354
0.0,501,75.129653
2.0,501,79.707989
0.0,501,84.373704
0.0,501,89.022455
0.0,501,93.608691
0.0,501,98.24886
0.0,501,102.915889
0.0,501,108.138454
0.0,501,113.329145
1.0,501,117.897184
0.0,501,122.536018
0.0,501,127.154177
0.0,501,131.755646
0.0,501,136.317902
0.0,501,140.944644
1.25,501,145.521992
4.0,501,150.159349
4.0,501,154.733433
6.75,501,159.354487
0.75,501,163.935503
4.5,501,168.599338
22.0,501,173.230797
18.5,501,177.979718
22.5,501,182.66717
31.25,501,187.296773
46.25,501,192.057906
35.25,501,196.752359
30.75,501,201.577586
26.25,501,206.303256
32.75,501,211.150218
37.5,501,215.920318
34.0,501,220.697062
34.0,501,225.54125
34.5,501,230.445723
40.0,501,235.217262
34.5,501,239.983857
36.5,501,244.745575
34.25,501,249.614878
40.5,501,254.368922
33.25,501,259.164185
34.5,501,263.930812
32.5,501,268.819572
38.5,501,273.610158
27.5,501,278.413684
42.75,501,283.179916
34.5,501,288.063628
36.25,501,293.115052
38.25,501,298.819055
31.25,501,304.378242
34.5,501,310.132593
38.5,501,315.676728
34.5,501,321.192097
21.0,501,326.76546
33.0,501,332.453608
34.75,501,337.947138
37.0,501,343.647462
34.0,501,349.265929
34.75,501,354.942833
31.0,501,360.594452
29.25,501,366.182703
34.25,501,371.639595
31.5,501,376.463643
32.75,501,381.253721
35.5,501,386.087577
38.75,501,390.911569
37.25,501,395.785365
36.25,501,400.537396
36.25,501,405.363459
34.25,501,410.166955
33.0,501,414.941797
32.0,501,419.750884
33.25,501,424.582714
