#{"t_start": 1541124469.945681, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,8.259324
2.5,501,15.356592
0.0,501,22.439593
0.0,501,29.538045
0.0,501,36.646029
0.0,501,43.772684
0.0,501,50.88714
0.0,501,57.993652
0.0,501,65.255846
0.0,501,72.812677
0.0,501,80.55596
5.75,501,87.720474
0.0,501,94.986557
0.0,501,102.237787
0.0,501,109.88653
0.0,501,117.093462
0.0,501,124.277035
1.25,501,131.481647
6.75,501,138.907537
7.0,501,146.323328
25.5,501,153.627605
28.0,501,160.969987
29.5,501,168.26138
35.5,501,175.553248
34.25,501,182.845753
26.0,501,190.173173
29.75,501,197.457479
33.25,501,204.797251
37.0,501,212.258204
35.0,501,219.759867
28.75,501,227.150091
37.0,501,234.507783
21.75,501,241.832923
35.25,501,249.182986
34.5,501,256.546451
39.25,501,263.924448
33.5,501,271.287223
34.5,501,278.9633
32.0,501,286.320911
33.5,501,293.65044
39.5,501,301.041215
35.5,501,308.374924
35.5,501,315.837847
31.5,501,323.178779
38.5,501,330.514465
40.5,501,337.870347
36.0,501,345.244392
32.0,501,352.593568
36.0,501,359.937511
34.25,501,367.260763
34.0,501,374.667324
32.5,501,382.039854
34.5,501,389.397588
30.5,501,396.753267
35.0,501,404.12357
36.25,501,411.507131
31.0,501,418.866662
35.0,501,426.20496
36.5,501,433.562367
35.5,501,440.906559
31.5,501,448.283815
38.5,501,455.635357
37.0,501,463.016199
32.5,501,470.384101
36.5,501,477.732703
37.75,501,485.116713
35.5,501,492.485474
37.0,501,499.830331
35.5,501,507.19566
0.0,501,514.554218
36.75,501,521.925463
32.0,501,529.284508
39.5,501,536.649828
31.5,501,544.029176
33.0,501,551.391306
35.5,501,558.767214
36.75,501,566.131858
37.25,501,573.499452
31.75,501,580.844738
41.0,501,588.194691
38.0,501,595.565237
35.75,501,602.918639
36.25,501,610.374381
33.0,501,617.898828
31.75,501,625.273555
40.5,501,632.768593
34.5,501,640.127133
38.5,501,647.493694
35.25,501,654.860136
33.0,501,662.389019
36.5,501,670.891934
33.25,501,678.40788
35.25,501,685.737161
41.5,501,693.071118
35.75,501,700.452946
33.5,501,707.87453
37.25,501,715.246301
32.0,501,722.619355
35.5,501,729.982691
34.25,501,737.362163
32.25,501,744.758536
32.25,501,752.124441
36.5,501,759.537238
31.0,501,767.070961
34.25,501,774.68914
35.75,501,782.090154
32.25,501,789.480901
36.25,501,796.857454
32.5,501,804.224698
37.25,501,811.596637
36.5,501,818.993042
38.25,501,826.672577
39.25,501,834.031329
34.25,501,841.367905
30.25,501,848.722402
35.25,501,856.086006
35.0,501,863.425056
31.75,501,870.803652
37.75,501,878.179797
36.0,501,886.034532
34.25,501,894.657471
32.25,501,903.223585
37.25,501,911.604751
34.5,501,919.97213
37.75,501,928.398608
30.25,501,936.897611
35.0,501,945.342526
40.5,501,953.753393
34.5,501,962.126778
35.5,501,970.520138
35.25,501,978.91661
33.0,501,987.374866
36.0,501,995.78096
38.0,501,1004.22212
40.5,501,1012.422732
39.5,501,1019.976361
37.0,501,1027.359364
33.0,501,1034.775707
38.5,501,1042.146061
32.5,501,1049.546612
21.5,501,1057.069729
35.75,501,1064.610897
31.5,501,1071.988602
34.0,501,1079.355524
40.5,501,1086.705837
44.5,501,1094.093478
36.25,501,1101.469169
31.5,501,1108.818496
36.5,501,1116.19088
30.25,501,1123.543101
39.75,501,1130.949912
37.0,501,1138.325855
37.25,501,1145.702888
35.0,501,1153.093677
35.25,501,1160.486265
38.5,501,1167.904962
28.5,501,1175.283416
28.75,501,1182.664363
37.5,501,1190.10007
42.75,501,1197.476716
40.5,501,1204.855324
42.25,501,1212.246007
33.75,501,1219.644651
35.0,501,1227.016792
38.25,501,1234.404114
32.25,501,1241.819939
33.0,501,1249.201905
31.5,501,1256.570881
25.5,501,1263.952742
37.75,501,1271.327893
36.75,501,1278.737792
36.75,501,1286.123798
34.0,501,1293.531995
33.5,501,1300.928881
36.0,501,1308.317457
37.25,501,1315.733207
40.25,501,1323.114202
38.0,501,1330.496911
37.0,501,1337.886987
38.25,501,1345.278659
38.75,501,1352.688456
35.75,501,1360.222776
34.0,501,1367.697799
37.5,501,1375.215152
38.25,501,1382.824207
40.0,501,1390.46181
33.0,501,1398.336878
37.5,501,1405.77135
20.5,501,1413.151235
38.75,501,1420.52077
33.75,501,1427.903798
32.25,501,1435.277267
39.0,501,1442.683857
34.75,501,1450.071779
35.5,501,1457.467366
34.5,501,1464.889136
40.25,501,1472.264225
33.75,501,1479.636438
42.75,501,1487.011522
35.25,501,1494.412522
33.75,501,1501.807244
35.75,501,1509.223175
37.25,501,1516.617577
30.75,501,1523.997403
37.0,501,1531.359346
33.0,501,1538.774793
33.0,501,1546.165677
38.0,501,1553.560081
30.0,501,1560.942716
34.25,501,1568.318308
36.5,501,1575.758447
33.75,501,1583.140592
36.0,501,1590.518646
42.0,501,1597.897652
