#{"t_start": 1541020028.3404596, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,496,9.655018
4.0,501,15.373259
4.0,501,21.140327
0.0,498,26.782183
4.0,496,32.390912
4.0,497,38.022937
0.0,496,43.661251
0.0,496,49.289262
0.0,496,54.902154
2.0,496,60.657321
0.0,499,66.423824
0.0,500,72.147564
1.25,500,77.892647
2.0,499,83.587822
4.0,498,89.28331
4.0,500,94.989327
4.0,499,100.726144
0.0,501,106.466898
6.0,497,112.206291
0.0,498,117.944017
7.25,501,123.700732
4.0,501,129.505804
31.25,498,135.239755
0.0,497,140.999707
26.25,500,146.799518
21.5,500,152.600977
48.75,498,158.369151
12.5,500,164.15564
21.75,497,169.938209
24.5,500,175.811103
29.25,500,181.67203
28.25,497,187.455583
34.0,499,193.290221
36.25,498,199.091846
27.75,500,204.954632
35.5,496,210.758879
33.0,499,216.587055
56.25,498,222.411392
39.5,501,228.239712
31.5,496,234.022168
25.5,496,239.796285
0.0,498,245.642081
51.25,497,251.44565
33.75,500,257.282312
35.5,499,263.097358
28.5,499,268.925302
27.25,498,274.731441
39.25,501,280.574745
19.5,497,286.3528
37.25,500,292.181933
38.25,501,298.008028
29.75,501,303.867471
41.75,501,309.762899
28.5,497,315.534083
41.75,500,321.408854
26.5,498,327.237364
36.75,498,333.057434
28.25,500,338.897418
31.25,501,344.744266
41.5,497,350.527557
32.25,500,356.388238
24.25,496,362.168103
22.75,498,368.006926
41.75,501,373.898729
42.5,499,379.725024
32.5,496,385.532222
45.75,501,391.395388
42.5,499,397.244322
34.5,498,403.090314
41.0,499,408.944101
35.75,499,414.755064
41.25,499,420.600065
40.0,501,426.415073
46.75,501,432.316248
52.0,500,438.189843
39.75,498,444.008227
42.5,500,449.835144
30.0,498,455.671341
33.25,498,461.42787
43.0,501,467.299805
37.25,501,473.16228
42.0,497,478.952812
40.75,500,484.817375
42.25,500,490.68576
37.5,500,496.502851
18.25,496,502.292812
51.75,501,508.119397
28.0,496,513.942128
41.0,497,519.901368
25.25,499,525.823093
